Вопрос,Ответы
Из чего сейчас состоит твоя жизнь  помимо работы?,"Из чего состоит моя жизнь, помимо работы?

Мы с мужем любим вместе смотреть какие-то шоу, стримеров, которые смотрят шоу. Мы вечером прям садимся, делаем себе вкусный ужин и смотрим, офигеваем. Мы смотрим МЖ, какие-нибудь шоу типа «Беременна в 16». Во-первых, прикольно посмотреть, как люди мыслят. Во-вторых, ты понимаешь, что, в принципе-то, у тебя всё ещё более-менее нормально. Ну короче, вот так мы расслабляемся.

Ходим вместе на рынок, погулять. Раз в месяц, может, иногда два раза в месяц, мы собираемся с друзьями здесь. Ездим иногда с родителями на шашлыки: либо к ним (у них частный дом), либо вот недавно мы ездили на термальные источники — там тоже мы обычно готовим шашлыки, общаемся, играем в тыщу.

Время от времени я занимаюсь там на санку делаю, тренировки. И время от времени мы читаем книги. Я рисую картины по номерам. Иногда у меня стреляет позаниматься садоводством: я начинаю выращивать микрозелень, пытаюсь вырастить какие-нибудь цветы. Но если с микрозеленью ещё всё нормально, то цветы что-то как-то пока не выращиваются: они постоянно почему-то сдыхают. Но меня пока не отпускает ещё моя мысль и цель — начать растить цветы. Кстати, сейчас отпуск, надо начать растить цветы.

В основном мы с мужем какими-то вещами вместе занимаемся. Ну и, в принципе, мы из дома работаем, находимся постоянно рядом."
Как проходит твой обычный день?,"Как проходит мой обычный день?

Я просыпаюсь, чекаю телегу: что там вообще по работе, всё ли ок или нет. Обычный день — это рабочий день, поэтому я сначала смотрю, что произошло по работе.

Потом сажусь и выписываю план на день. Последнее время я стала чаще это делать: выписываю задачи, которые мне нужно сделать, смотрю, что я могу отдать мужу, чтобы он это сделал, а что нужно мне делать самой.

Обычно я просыпаюсь раньше мужа, поэтому делаю это с утра и начинаю делать какие-то задачи, которые могу, или которые срочные. Например, в понедельник мне нужно отчёт с утра до 10 утра сдать.

Потом просыпается муж, и мы обычно либо он, либо я готовим завтрак по очереди, иногда вместе. Если он готовит, я сижу и работаю — всё зависит от объёма задач.

Мы завтракаем и смотрим либо сериал (сейчас «Теорию большого взрыва»), либо какое-то шоу, либо какое-то видео на Ютубе. После этого расходимся работать.

Потом мы обедаем вместе: либо готовим, либо заказываем — в зависимости от занятости. Потом опять работаем.

Потом где-то в часов в 6 мы идём обычно в магазин: либо берём себе что-то на вечер выпить, посидеть, либо просто продукты. Вечером мы обычно что-нибудь смотрим, какое-нибудь шоу, сидим, обсуждаем, кушаем, пьём.

Потом садимся и можем поиграть в компьютерные игры — мы обычно в разные симуляторы играем.

Ну и потом спать.

Когда я обычно просыпаюсь, на меня уже смотрит кошка. У нас две кошки — Хэсси и Тесси. На меня смотрит Хэсси: у неё есть прикол — она пьёт воду только из-под крана. То есть она просит включить ей воду, и когда я просыпаюсь, она уже сидит рядом и ждёт, что я сейчас встану и включу ей воду.

И, соответственно, они в течение дня по очереди ко мне приходят, чтобы я их погладила, почесала — вот такая вот история.

Когда я очень сильно занята и не уделяю внимания, они потом начинают скучать, и через пару дней вообще от меня не отлипают. Тоже приходят по очереди, и прям время от времени начинаешь уставать от всей этой истории.

Мы хотели там заводить ещё собаку, но когда мы завели, мы поняли, что у нас тупо не хватает времени и сил, и личного состояния, равновесия эмоционального, чтобы у нас ещё было животное. Поэтому мы остановились на двух кошках. И даже когда хочется там кого-то ещё взять, завести, мы понимаем, что мы тупо не вывезем: у нас больше нет сил и ресурсов на ещё одно животное, потому что эти две очень любвеобильные и занимают много времени."
Давай составим колесо баланса твоей жизни,"Ещё раз: колесо баланса. Какие у меня там разделы?

1. Работа
2. Отношения с мужем, семья
3. Здоровье
4. Отдых
5. Хобби
6. Друзья

1. Работа: 6 из 10, потому что я сюда включаю и ЕГЭЛЕНД, и развитие своего личного бренда. По ЕГЭЛЕНДу всё, в принципе, окей, а по личному бренду я только-только начала нормально работать, поэтому пока шестёрка. Чтобы была десятка, нужно, чтобы я регулярно работала над своими соцсетями, и чтобы с них уже шли клиенты на консультации и на стратегии.

2. Отношения с мужем, семья: тут, в принципе, для меня всё отлично. Я бы поставила 9–10, потому что пока я даже не знаю, как там можно было бы это улучшить. Мне всё окей.

3. Здоровье: 3 из 10, потому что я редко пока занимаюсь, тренируюсь, плюс мы пьём алкоголь, не всегда правильно питаемся. Короче, над этим ещё работать и работать.

4. Отдых: 4 из 10, потому что я очень много работаю и не так много отдыхаю. Отдых у нас не разнообразный, наверное, но тут ещё момент того, что нужно смотреть, насколько это всё навязано или не навязано: типа что надо там куда-то выезжать, вот эта вот вся тема. Потому что когда ты куда-то едешь, ты наоборот ещё сильнее устаёшь, потому что это тоже стресс для организма. Но как будто бы хотелось найти ещё варианты того, как отдыхать.

5. Хобби: 4 из 10, потому что не так много времени выделяю всей этой истории. Я бы хотела больше танцевать, танцами заниматься, хотела бы выращивать растения, больше читать.

6. Друзья: это не сильно для меня какой-то важный, наверное, пункт. Конечно, мне нужно с кем-то общаться, что-то как-то выговаривать, но, во-первых, мой муж — мой друг. Мне достаёт общения с коллегами. Я бы, наверное, поставила семёрку. Почему семь: потому что у меня прям нет какой-то там лучшей подруги, вот этой вот всей истории. То есть у меня есть Лиза, с которой я могу пообщаться, есть бывшие коллеги, с кем я могу пообщаться, и просто коллеги, с кем я тоже могу пообщаться, поэтому мне нормально."
Какую главную проблему ты сейчас решаешь?,"Какие главные проблемы я сейчас решаю?

Тут бы я сказала две проблемы:

1. Развитие своего личного бренда: я постоянно всё это откладывала, и сейчас я пытаюсь найти способы и начать работать так, чтобы я над этим работала постоянно.
2. Доход, денежная ситуация: нужно из минуса выйти в плюс и зарабатывать хотя бы столько, чтобы покрывало все наши потребности. Пока что этого не хватает."
В чем ты видишь свою большую миссию?,"В чём я вижу свою большую миссию?

Здесь я отталкиваюсь от ценностей того, чтобы через свою работу приносить пользу миру, и чтобы моя работа действительно работала на благо того, что есть. Мне очень важно, чтобы мои силы, время и вообще всё, что я делаю в маркетинге, помогало людям.

Поэтому большая миссия, наверное, такая: я пока не могу её прям сильно сформулировать, но это про то, чтобы через мою работу улучшался мир, хоть даже на 1/1000%.

Но здесь ещё одна миссия — грубо говоря, противостояние инфоцыганам и вообще всей этой истории. Меня очень сильно триггерит, что людям парят мозги и с них высасывают бабки, по факту за нихера.

Здесь как миссию можно ещё сформулировать то, чтобы показать реальный маркетинг: что такое реальный маркетинг, как он работает, как не повестись на этих инфоцыган, как получить реальные результаты и как использовать этот маркетинг. Вот такую историю можно выделить."
"Что тебя мотивирует сейчас?


","Что меня мотивирует сейчас?

Во-первых, деньги. Потому что, как бы ни была денежная ситуация, когда вопрос стоит в том, что можно получить доход, то, естественно, меня это мотивирует. У меня, например, есть KPI в ЕГЭЛЕНДе, и когда я их выполняю, я получаю полную зарплату. В последнее время я их выполняю либо на 90%, либо на 100%, потому что мне важны деньги, которые я получаю.

И второе, что меня мотивирует, — это реально миссия. Это польза. Это всё крутится всегда вокруг единых смыслов: что это реально полезно людям, что это нужно людям.

И ещё есть момент, что реально нужно какие-то цели поставить, потому что как будто бы я живу сейчас в каком-то своём мирке, мне вроде бы более-менее комфортно, и моя единственная пока что цель — решить вопрос с деньгами, грубо говоря. И тут вопрос целей: достаточно ли этого, чтобы что-то делать дальше, или нужно ещё что-то найти."
"Какие люди тебя вдохновляли раньше? И какие сейчас?

","Какие люди меня вдохновляли раньше, какие сейчас вдохновляют?

Раньше меня вдохновляли разные блогеры и эксперты в моей нише. Там Тимочка, потому что он делал какие-то классные результаты, Марго Савчук.

Сейчас у меня как будто бы сместился фокус, и я больше не вдохновляюсь блогерами и какими-то экспертами, потому что я с ними поработала, понимаю всю эту внутрянку и понимаю, что часто то, как они себя преподносят, не всегда бывает правдой. Что все эти кейсы и методики очень часто не истина, и здесь присутствует некоторое процентное ебалово людей.

Поэтому здесь, кстати, тоже проблема в том, что, наверное, надо найти людей, которые меня вдохновляют, и опираться сейчас пока что как мотивация тоже на эту историю. Потому что у меня нет такого в голове, чтобы кто-то меня сильно вдохновлял, на кого-то я смотрела и думала: «Вау, нифига себе»."
"Топ 3 книги или фильма, которые на тебя повлияли","Книги и фильмы, которые на меня повлияли.

Точно: «Психология влияния» Чалдини, потому что там описаны триггеры, которые работают в маркетинге.

Ещё: «Ответ» Алана и Барбары Пис, по-моему. Потому что там ты понимаешь вообще, ради чего. Кстати, я бы её сейчас перечитала — это та книга, которая вдохновляла. Я бы перечитала её как раз в своём отпуске, чтобы вернуться к тому, зачем вообще мне это всё надо.

Ещё хочу почитать книгу про этих… Есть книга «Женщины, которые поменяли мир», которые там сделали какие-то открытия. Это тоже хотелось бы почитать.

Но так, две книги. Третью даже пока вспомнить не могу."
"В какой этап своей жизни ты рос, как личность сильнее всего?","В каком этапе жизни я росла как личность сильнее всего?

На самом деле на каждом этапе своей жизни я бы ответила «сейчас», потому что я не стою на месте. У меня нет такой истории, что «ах, я работаю там на каком-то месте, на каком-то проекте, не знаю, 3 года выполняю одни и те же задачи и вообще не развиваюсь». Нет, у меня такого нет: я постоянно в движении, обучаюсь, беру новые задачи, новые проекты.

Даже в ЕГЭЛЕНДе история такая, что я там работаю больше полугода, но суть в том, что у нас реально появляются новые задачи, новые проекты, новые направления, и мы постоянно в развитии. Например, я училась:
- как работать с новой платформой;
- как ставить ТЗшки на эту новую платформу, что мы можем вообще делать, какие есть функции;
- переливать учеников с одного курса на другой через дожим, как писать эти дожимы;
- вообще работать с аудиторией подростков, потому что это тоже не просто: с родителями-то мне вообще просто, а вот с подростками я прям не работала, с поколением зумеров, и я до сих пор этому учусь.

Там ситуация с Олейсок, с инфоцыганами: я учусь отстаивать свои позиции, балансить свою жизнь, отдых, работу.

Короче говоря, на любом этапе своей жизни я бы сказала «сейчас», то есть сейчас я скажу, что сейчас я больше всего как личность расту. Год назад я бы сказала то же самое, будучи той Марго год назад, потому что я работаю и не стою на месте."
Что сильнее всего изменилось в тебе за прошлые 5 лет?,"Что сильнее всего изменилось у меня за прошлые 5 лет?

1. Я стала системной и начала опираться на классический маркетинг. То есть я вышла из ситуации, когда ты слепо веришь курсам в инете от каких-то блогеров, от каких-то экспертов, и уже опираешься на классический маркетинг.
2. Из этого выходит ещё один пункт: я начала работать с цифрами. Это вообще была моя большая боль. Я не любила работать с цифрами, с этими показателями: я с ними не работала либо работала очень поверхностно, типа количество продаж, количество заявок. Но именно в глубинные показатели конверсии я не лезла, и это была большая ошибка, которой я училась.
3. Я начала отстаивать свои границы и уходить из проектов. Мне очень сложно было отказываться от проектов, с которыми я работаю, уходить от экспертов, заканчивать с ними сотрудничество — это была прям большая, огромная проблема. И если мне предлагали работу, очень часто я соглашалась, и от этого просто херачила 24/7. Работала неплохо, не покладая рук и ног, и весь мой день был: проснулась, поработала, уснула — всё. И в этом, конечно, есть большая проблема.

Теперь нужно научиться балансить жизнь: работать, но при этом на такие чеки и на такие суммы, чтобы этого было достаточно на жизнь."
Расскажи про самую большую яму в своей жизни,"Рассказать про самую большую яму в своей жизни?

Так как я тревожник, я бы то же самое ответила: как и с моментом, когда я росла больше всего, я бы сказала «сейчас», и год назад, и два, и три. Потому что у тревожников есть большая проблема: кажется, что вот-вот что-то случится, и сейчас самая жопа.

Типа сейчас есть вопросы по деньгам: кредиты 20-го числа платить. Я понимаю, что нужно будет с кредитки брать эти деньги, если сейчас у меня не начнут покупать консультации или не закажут какую-то воронку. Либо я не найду клиентов на воронку. Ну то есть вот такие моменты.

И тут, конечно, большая точка роста — работать над тревожностью. Я уже над ней работаю, потому что раньше я бы была в панике жёсткой: я бы не спала, просыпалась бы в 5 утра, что-то пыталась бы срочно делать. А сейчас я просто сижу, заполняю распаковку, смотрю системно, как это может быть.

Короче, с этой тревожностью я работаю. И вот сейчас, как я и говорила, основной момент — это момент, чтобы выйти в адекватную ситуацию по баблу, когда ты не переживаешь."
Какие чувства ты хочешь вызывать своим контентом?,"Какие чувства я хочу вызывать своим контентом?

1. Инсайт: чтобы у человека было ощущение, что он наконец-то понял, как это реально работает.
2. Понимание: чтобы у него появлялось понимание, как вообще работает маркетинг и как он может использовать это именно для себя, и что ему нужно. То есть у него есть какая-то цель, какая-то боль, и что ему нужно предпринять, какие действия должны быть, чтобы он приблизился к цели.
3. Не «как сделать», а «что нужно»: не про то, как это сделать, потому что как сделать — этому нужно обучаться, есть специалисты-маркетологи. Приходите, я помогу. А именно что нужно, чтобы убрать мифы на рынке, которые существуют, которые плодят инфоцыгане, вот эти вот блогеры, и убрать вот эти офферы типа «создавайте автоворонки, у вас будут идти клиенты 24/7 без вашего включения» — да бредятина это полная.
4. Вдохновение и мотивация: вдохновение, заряд мотивации, понимание, что да, всё работает на самом деле. Маркетинг работает, просто его делали неправильно.
5. Доверие: понимание, что я эксперт, и я хочу вызывать доверие."
Каких блогеров сам смотришь?,"Каких блогеров я смотрю?

На самом деле я практически не смотрю блогеров в последнее время. Если я захожу в соцсети, я больше листаю рилсы и смотрю именно там.

Из блогеров — больше знакомые:
- Оля Сок: недавно закончили работу, могу зайти посмотреть сторисы. Но я на неё даже не подписана, просто время от времени захожу.
- Наталья Пахомова: тоже время от времени, потому что мы с ней работали.
- Тимочка: но не всегда. У него больше прогревы всегда идут, и я это прекрасно понимаю. Так как это моя работа, я анализирую эти прогревы, смотрю, как он там триггерит. Но когда я устаю и не хочу анализировать, я не смотрю.
- Его жена: так же, она делает то же самое.
- Снейл Кика: смотрю, что он там выкладывает, просто потому что он стример, и мы смотрим его контент, и он там анонсы выкладывает.

Короче, я очень сильно сократила своё инфополе: кого я смотрю и изучаю, потому что устала. Очень часто используются эти прогревы, и они мне пока неинтересны. Я, наверное, больше ушла в эту бизнесовскую историю, и мне интересно смотреть, что происходит, но это больше через работу, через кейсы, через какие-то статьи."
