Вопрос,Ответ
Почему стоит заниматься твоей сферой?,"Это уже реалии рынка и то, без чего рынок не сможет - маркетинг и соцсети - это уже никуда не уйдет. Если бизнес не ведет соцсети - его нет. В наших реалиях конкуренция стала слишком большая. И ты должен выделяться. А тут только маркетинг и продвижение. Вы всегда будете при работе - контент, упаковка, сайты, воронки - это всё нужно всегда. Нужно только адаптироваться под тренды. "
Как изменилось твое окружение и отношения с друзьями?,"в основном это те, кто сейчас в моём рабочем инфополе) у меня нет подруг со школы/универа
есть просто коллеги/ хорошие знакомые / эксперты, я со всеми всегда выстраиваю хорошие связи) 

сейчас конечно это известные эксперты в моём окружении, и уровень проектов выше."
Какие качества прокачивает твоя сфера?,"СТРЕССОУСТОЙЧИВОСТЬ)) а вообще - навык адаптации, навык понимания трендов, навык переговоров, навык общения и выстраивался коммуникаций, логику, аналитику, креативность) ты становишься очень разносторонним человеком - и это круто. Ты всегда найдешь работу и общие точки соприкосновения с человеком "
"Как со стороны люди могут понять твой успех в сфере, если ты ничего не будешь говорить?",
Что ты себе купил или позволил благодаря сфере?,"путешествия - это одна из моих самых главных ценностей. Мы с мужем жили в Малайзии в куала-лумпур, на острове в Малайзии, на Бали) Были в Азербайджане, во Вьетнаме, 3 раза летали на кубу - у нас есть любимый отель 16+, туда летаем как только есть возможность) там же сыграли церемонию после того, как расписались) мы не делали праздник по свадьбе в городе, потому что оба считаем, что поить и кормить родственников вместо того, чтобы самим кайфануть в отпуске это зашквар) поэтому расписались, с родителями посидели за городом с шашлыками и улетели на кубу, так туда теперь и ездим) уже опять очень хочу туда - нас знают там все работники постоянные, мы постоянно привозим подарки)"
Какую мечту ты воплотил благодаря сфере?,"Путешествия) пожить заграницей) "
Нравится ли тебе сам процесс работы в твоей сфере? Чем он лучше остальных сфер?,"мне нравится прописывать стратегию, анализировать ца, прописывать смыслы, "
Как изменилось твое самоощущение?,"Самое главное - что я теперь выбираю проекты, а не только меня выбирают. Недавно я так отказалась от проекта, потому что увидела, что эксперт ведет себя так, что это вообще не отражает моих ценностей (елютин). Я знаю что в любом случае могу найти проект, моих знаний и навыков достаточно. Пока до сих пор страшно запускать себя, но с этим работаю) "
Что изменилось на личном фронте благодаря этой сфере?,"мы с мужем когда встретились, я уже работала в этой сфере как раз исполнительным директором в чужом агентстве) я вовлекла его в эту сферу, раньше он был по образованию медиком, а работал курьером. Потом мы вместе управляли агентством) и сейчас он помогает мне выстроить логику и понять, чего я вообще хочу и что надо делать) показывает, когда я буксую, подпинывает) "
Как изменилась твоя личность?,"Я всегда была очень мягкой, но именно этот путь закалял меня в хорошем смысле. Я не выхожу в конфликты, но выхожу из ситуаций, где мне не нравится, раньше я бы терпела. Научилась больше выбирать себя. Проблема с трудоголизм до сих пор есть, но уже становится лучше. Я перестала возносить известных экспертов, блогеров миллионников и тд -  поработав я понимаю, что это такие же обычные люди. а ещё чаще они у них проблемы базового уровня) "
"Расскажи про 3-х друзей или коллег, чья жизнь сильно трансформировалась благодаря сфере",
Почему ты сейчас занимаешься именно этим?,"хороший вопрос) потому что уже 10 лет в этом по факту. Много знаний, легко сразу понимаю в чём проблема и как помочь в любом проекте. Но есть вопрос в том, что я сейчас действительно ищу новые смыслы и новую миссию в этой нише. Поэтому хочу создать закрытый клуб для фрилансеров.  Чтобы была миссия. Я устала от проектов ради денег, хочется кайфовать от того, что делаю, приносить пользу миру и жить в гармонии с собой."
Как родители / муж / одноклассники теперь к тебе относятся?,"Отец сначала не верил, что то, чем я занимаюсь, может принести деньги) а потом в новостях, когда я ещё в универе была, увидел, что сммщики в Москве зарабатываю 100+, ну и сказал че я вообще ещё не уехала) после этого перестал критиковать и поддерживал

А так на самом деле ничего не поменялось сильно, я быстро отсекла негативное окружение, кто негативно - посылала нахер) 
вокруг всегда были, кто хотел со мной работать или верил в меня/это дело

Маму я всё время не посвящала подробно в свою работу, ей стрессовая нельзя, просто делилась хорошими новостями"
"Опиши момент, когда ты понял, что все это не зря.","Когда начала приносить результаты - когда в турагентстве пошли продажи, когда я помогла в студию депиляции привлечь клиентов стабильно с записью на месяц вперед, когда я помогла выстроить личный бренд с 0 до 10 тысяч. подписчиков, когда мы запустили первый онлайн-курс и сразу на 1 млн рублей при чеке в 4000 рублей "
"Как изменилось качество быта? (квартира, еда, такси, уборка)","я бы не сказала что прям сильно изменилось
мы работаем из дома
да сейчас своя квартира, но ипотека и ремонт) поэтому пока в процессе) меня радует что есть ванна, я люблю в ней валяться) но надо купить столик для ванны (а она у нас шире чем обычно)"
